Institute,Frequency,Type
ACTREC,1,Others
JNCASR,1,Central Research
Bangalore University,1,State Public
Bhavnagar University,1,State Public
CSIR,4,Central Research
Calcutta University,1,State Public
The English and Foreign Languages University,1,Central University
Harish-Chandra Research Institute,4,Central Research
ICT Mumbai,1,State Public
IIT,16,IIT
IISC, 12, IISC
ISI ,9,Central Research
Indian Institute of Tropical Meteorology,2,Central Research
Institute of Mathematical Sciences,2,Central Research
Loyola College,1,Private
NCBS,2,Central Research
National Chemical Laboratory(Pune),1,Central Research
National Institute of Immunology (Delhi),2,Central Research
Physical Research Laboratory,2,Central Research
University of Baroda ,1,Others
Pondicherry University,2,Central University
SNDT Women’s University (Mumbai),1,Others
SRM Research Institute,1,Private
Saha Institute of Nuclear Physics,1,Central Research
Savitribai Phule Pune University,2,State Public
St. Joseph’s College,1,Private
St. Xavier's College,2,Private
"TIFR Centre for Applicable Mathematics, Bangalore",2,Central Research
Tata Institute of Fundamental Research,7,Central Research
National Institute of Technology,1,NIT
"the University College, Thiruvananthapuram",1,State Public
the University of Mumbai,1,State Public